path,analysis,group,blank
,012_N2_blank_ACN_2,N2_blank_ACN,N2_blank_ACN
,013_VC40_worm_ACN_1,VC40_worm_ACN,VC40_blank_ACN
,014_VC40_worm_ACN_2,VC40_worm_ACN,VC40_blank_ACN
,015_VC40_worm_ACN_3,VC40_worm_ACN,VC40_blank_ACN
,016_VC40_worm_ACN_4,VC40_worm_ACN,VC40_blank_ACN
,017_VC40_blank_ACN_1,VC40_blank_ACN,VC40_blank_ACN
,018_VC40_blank_ACN_2,VC40_blank_ACN,VC40_blank_ACN
,019_VC1668_worm_ACN_1,VC1668_worm_ACN,VC1668_blank_ACN
,020_VC1668_worm_ACN_2,VC1668_worm_ACN,VC1668_blank_ACN
,021_VC1668_worm_ACN_3,VC1668_worm_ACN,VC1668_blank_ACN
,022_VC1668_worm_ACN_4,VC1668_worm_ACN,VC1668_blank_ACN
,023_VC1668_blank_ACN_1,VC1668_blank_ACN,VC1668_blank_ACN
,024_VC1668_blank_ACN_2,VC1668_blank_ACN,VC1668_blank_ACN
,025_BR5270_worm_ACN_1,BR5270_worm_ACN,BR5270_blank_ACN
,026_BR5270_worm_ACN_2,BR5270_worm_ACN,BR5270_blank_ACN
,027_BR5270_worm_ACN_3,BR5270_worm_ACN,BR5270_blank_ACN
,028_BR5270_worm_ACN_4,BR5270_worm_ACN,BR5270_blank_ACN
,029_BR5270_blank_ACN_1,BR5270_blank_ACN,BR5270_blank_ACN
,030_BR5270_blank_ACN_2,BR5270_blank_ACN,BR5270_blank_ACN
,031_UA57_worm_ACN_1,UA57_worm_ACN,UA57_blank_ACN
,032_UA57_worm_ACN_2,UA57_worm_ACN,UA57_blank_ACN
,033_UA57_worm_ACN_3,UA57_worm_ACN,UA57_blank_ACN
,034_UA57_worm_ACN_4,UA57_worm_ACN,UA57_blank_ACN
,035_UA57_blank_ACN_1,UA57_blank_ACN,UA57_blank_ACN
,036_UA57_blank_ACN_2,UA57_blank_ACN,UA57_blank_ACN
,049_VC40_worm_ACN_1,VC40_worm_ACN,VC40_blank_ACN
,050_VC40_worm_ACN_2,VC40_worm_ACN,VC40_blank_ACN
